time,worker_task_index,global_step,local_step,loss,acc,time delta
2018-05-21 03:15:14.80311,0,10,10,68.65715,0.8084,0
2018-05-21 03:15:14.91093,0,20,20,35.18401,0.8774,0.10782384872436523
2018-05-21 03:15:14.93233,0,30,30,49.27243,0.8832,0.02139902114868164
2018-05-21 03:15:14.95128,0,40,40,37.233498,0.9026,0.018947124481201172
2018-05-21 03:15:14.97020,0,50,50,16.665089,0.9004,0.01891803741455078
2018-05-21 03:15:14.99064,0,60,60,41.517723,0.9082,0.02044081687927246
2018-05-21 03:15:15.00947,0,70,70,43.544662,0.9218,0.0188291072845459
2018-05-21 03:15:15.02838,0,80,80,25.370865,0.912,0.018913984298706055
2018-05-21 03:15:15.04854,0,90,90,17.917675,0.9212,0.020153045654296875
2018-05-21 03:15:15.06693,0,100,100,47.567715,0.922,0.018393993377685547
2018-05-21 03:15:15.08491,0,110,110,19.900663,0.9234,0.017978906631469727
2018-05-21 03:15:15.10387,0,120,120,21.124462,0.9398,0.018959999084472656
2018-05-21 03:15:15.12239,0,130,130,23.424084,0.9266,0.018518924713134766
2018-05-21 03:15:15.14136,0,140,140,23.986197,0.9364,0.018970012664794922
2018-05-21 03:15:15.15957,0,150,150,11.67453,0.935,0.018217086791992188
2018-05-21 03:15:15.17767,0,160,160,39.67715,0.9458,0.018099069595336914
2018-05-21 03:15:15.19575,0,170,170,15.324377,0.9382,0.018079042434692383
2018-05-21 03:15:15.21407,0,180,180,13.096957,0.9418,0.018314838409423828
2018-05-21 03:15:15.23210,0,190,190,26.329727,0.94,0.0180361270904541
2018-05-21 03:15:15.25034,0,200,200,16.692408,0.9438,0.01823282241821289
2018-05-21 03:15:15.26890,0,210,210,9.778394,0.9518,0.01856708526611328
2018-05-21 03:15:15.28743,0,220,220,19.609985,0.9442,0.018526077270507812
2018-05-21 03:15:15.30555,0,230,230,29.311892,0.954,0.01812291145324707
2018-05-21 03:15:15.32387,0,240,240,7.379822,0.9526,0.01832103729248047
2018-05-21 03:15:15.34221,0,250,250,12.898932,0.951,0.01833200454711914
2018-05-21 03:15:15.36029,0,260,260,27.270079,0.9454,0.018080949783325195
2018-05-21 03:15:15.37856,0,270,270,6.6336713,0.9556,0.01827692985534668
2018-05-21 03:15:15.39675,0,280,280,12.596638,0.9594,0.01818704605102539
2018-05-21 03:15:15.41481,0,290,290,16.495632,0.9554,0.01805710792541504
2018-05-21 03:15:15.43279,0,300,300,11.20306,0.9544,0.01798391342163086
2018-05-21 03:15:15.45101,0,310,310,26.385809,0.9562,0.018218040466308594
2018-05-21 03:15:15.47047,0,320,320,18.763498,0.9542,0.019457101821899414
2018-05-21 03:15:15.48873,0,330,330,22.508608,0.9492,0.018265962600708008
2018-05-21 03:15:15.50735,0,340,340,10.084418,0.9578,0.01861882209777832
2018-05-21 03:15:15.52553,0,350,350,12.297827,0.9512,0.0181732177734375
2018-05-21 03:15:15.54677,0,360,360,10.780525,0.9484,0.021240949630737305
2018-05-21 03:15:15.56477,0,370,370,16.24907,0.954,0.018005847930908203
2018-05-21 03:15:15.58332,0,380,380,18.364437,0.9538,0.018549203872680664
2018-05-21 03:15:15.60144,0,390,390,15.280351,0.9566,0.01811695098876953
2018-05-21 03:15:15.61949,0,400,400,27.225492,0.9582,0.01805591583251953
2018-05-21 03:15:15.63761,0,410,410,27.007622,0.9528,0.0181119441986084
2018-05-21 03:15:15.65581,0,420,420,18.003588,0.9572,0.018207073211669922
2018-05-21 03:15:15.67430,0,430,430,8.348604,0.9578,0.01848292350769043
2018-05-21 03:15:15.69310,0,440,440,26.776245,0.9604,0.01880812644958496
2018-05-21 03:15:15.71151,0,450,450,10.5376835,0.955,0.01840496063232422
2018-05-21 03:15:15.72994,0,460,460,15.001398,0.9524,0.018435955047607422
2018-05-21 03:15:15.74842,0,470,470,8.858137,0.9554,0.018479108810424805
2018-05-21 03:15:15.76669,0,480,480,5.806176,0.9592,0.018270015716552734
2018-05-21 03:15:15.78489,0,490,490,27.304186,0.9652,0.01819586753845215
2018-05-21 03:15:15.80300,0,500,500,21.319822,0.9626,0.01811504364013672
2018-05-21 03:15:15.82092,0,510,510,10.027962,0.956,0.0179140567779541
2018-05-21 03:15:15.83926,0,520,520,19.598122,0.961,0.01834392547607422
2018-05-21 03:15:15.85851,0,530,530,26.481525,0.9622,0.01924896240234375
2018-05-21 03:15:15.87663,0,540,540,12.797584,0.9608,0.01812005043029785
2018-05-21 03:15:15.89478,0,550,550,15.0892315,0.962,0.01814413070678711
2018-05-21 03:15:15.99552,0,560,560,9.326024,0.9544,0.10073995590209961
2018-05-21 03:15:16.01576,0,570,570,17.755705,0.9644,0.020246028900146484
2018-05-21 03:15:16.03471,0,580,580,11.299083,0.9618,0.018945932388305664
2018-05-21 03:15:16.05345,0,590,590,4.366622,0.9586,0.01874089241027832
2018-05-21 03:15:16.07177,0,600,600,6.6859345,0.9618,0.01832413673400879
2018-05-21 03:15:16.08976,0,610,610,18.624355,0.9562,0.017982006072998047
2018-05-21 03:15:16.10880,0,620,620,22.351192,0.9656,0.01904892921447754
2018-05-21 03:15:16.12735,0,630,630,12.187568,0.9668,0.01854395866394043
2018-05-21 03:15:16.14659,0,640,640,12.2107115,0.965,0.019245147705078125
2018-05-21 03:15:16.16461,0,650,650,9.995675,0.9584,0.0180208683013916
2018-05-21 03:15:16.18271,0,660,660,18.920765,0.9586,0.018098115921020508
2018-05-21 03:15:16.20249,0,670,670,4.4549456,0.9636,0.019780874252319336
2018-05-21 03:15:16.22066,0,680,680,13.001297,0.9634,0.018166065216064453
2018-05-21 03:15:16.23863,0,690,690,16.41801,0.9606,0.017973899841308594
2018-05-21 03:15:16.25730,0,700,700,6.22829,0.9674,0.018665075302124023
2018-05-21 03:15:16.27543,0,710,710,12.033751,0.9648,0.01813197135925293
2018-05-21 03:15:16.29334,0,720,720,7.948053,0.9698,0.01790904998779297
2018-05-21 03:15:16.31173,0,730,730,16.65836,0.9626,0.01838994026184082
2018-05-21 03:15:16.33035,0,740,740,10.556935,0.957,0.01862192153930664
2018-05-21 03:15:16.34834,0,750,750,6.173092,0.9558,0.017992019653320312
2018-05-21 03:15:16.36649,0,760,760,14.117464,0.966,0.018143177032470703
2018-05-21 03:15:16.38471,0,770,770,1.9008176,0.9584,0.018224000930786133
2018-05-21 03:15:16.40402,0,780,780,3.6734855,0.9648,0.01930689811706543
2018-05-21 03:15:16.42234,0,790,790,9.814115,0.9592,0.01832103729248047
2018-05-21 03:15:16.44038,0,800,800,7.9329567,0.9602,0.018043041229248047
2018-05-21 03:15:16.45853,0,810,810,9.646558,0.9636,0.018144845962524414
2018-05-21 03:15:16.47813,0,820,820,21.255121,0.9598,0.019605159759521484
2018-05-21 03:15:16.49820,0,830,830,4.250292,0.9584,0.020067930221557617
2018-05-21 03:15:16.51797,0,840,840,33.60754,0.9626,0.019774913787841797
2018-05-21 03:15:16.53649,0,850,850,16.078875,0.966,0.018519163131713867
2018-05-21 03:15:16.55478,0,860,860,8.753752,0.9662,0.01828289031982422
2018-05-21 03:15:16.57572,0,870,870,11.899907,0.9658,0.020941972732543945
2018-05-21 03:15:16.59432,0,880,880,19.33007,0.9586,0.01859903335571289
2018-05-21 03:15:16.61241,0,890,890,25.428429,0.952,0.018093109130859375
2018-05-21 03:15:16.63072,0,900,900,13.126111,0.9608,0.018309831619262695
2018-05-21 03:15:16.64929,0,910,910,5.559146,0.959,0.018566131591796875
2018-05-21 03:15:16.66907,0,920,920,10.735725,0.9618,0.019782066345214844
2018-05-21 03:15:16.68713,0,930,930,5.6693764,0.9636,0.01805877685546875
