time,worker_task_index,global_step,local_step,loss,acc,time delta
2018-05-21 03:16:05.75699,0,10,10,62.674774,0.7912,0
2018-05-21 03:16:05.78856,0,20,20,38.738716,0.855,0.031575918197631836
2018-05-21 03:16:05.81585,0,30,30,22.193604,0.8858,0.027289152145385742
2018-05-21 03:16:05.84209,0,40,40,46.57616,0.9062,0.02623581886291504
2018-05-21 03:16:05.86807,0,50,50,24.422085,0.905,0.025985002517700195
2018-05-21 03:16:05.89433,0,60,60,34.25646,0.9214,0.02625298500061035
2018-05-21 03:16:05.92030,0,70,70,29.69495,0.9216,0.02597212791442871
2018-05-21 03:16:05.94795,0,80,80,24.270374,0.928,0.02764606475830078
2018-05-21 03:16:05.97576,0,90,90,28.33927,0.9236,0.02781081199645996
2018-05-21 03:16:06.00236,0,100,100,26.531473,0.9306,0.026598215103149414
2018-05-21 03:16:06.02927,0,110,110,24.280529,0.9304,0.02691793441772461
2018-05-21 03:16:06.05593,0,120,120,28.718256,0.9338,0.0266568660736084
2018-05-21 03:16:06.08266,0,130,130,35.60288,0.938,0.026734113693237305
2018-05-21 03:16:06.11027,0,140,140,19.626322,0.9382,0.027601003646850586
2018-05-21 03:16:06.13653,0,150,150,13.927582,0.9416,0.026261091232299805
2018-05-21 03:16:06.16334,0,160,160,12.678729,0.944,0.0268099308013916
2018-05-21 03:16:06.18926,0,170,170,40.885593,0.9464,0.02591991424560547
2018-05-21 03:16:06.21595,0,180,180,16.752258,0.9538,0.026695966720581055
2018-05-21 03:16:06.24215,0,190,190,21.726063,0.9366,0.026200056076049805
2018-05-21 03:16:06.26776,0,200,200,13.712629,0.945,0.025610923767089844
2018-05-21 03:16:06.29426,0,210,210,26.903416,0.9434,0.026493072509765625
2018-05-21 03:16:06.31961,0,220,220,27.478771,0.9428,0.02535390853881836
2018-05-21 03:16:06.34517,0,230,230,18.86597,0.9514,0.02556300163269043
2018-05-21 03:16:06.37120,0,240,240,12.288301,0.9534,0.02602410316467285
2018-05-21 03:16:06.39672,0,250,250,37.717438,0.9452,0.02552199363708496
2018-05-21 03:16:06.42218,0,260,260,10.367938,0.953,0.025463104248046875
2018-05-21 03:16:06.44779,0,270,270,33.325394,0.9452,0.025609970092773438
2018-05-21 03:16:06.47347,0,280,280,20.361755,0.9518,0.025679826736450195
2018-05-21 03:16:06.49992,0,290,290,7.4220505,0.9456,0.026447057723999023
2018-05-21 03:16:06.52565,0,300,300,5.0019217,0.955,0.025727033615112305
2018-05-21 03:16:06.55162,0,310,310,15.369545,0.9494,0.02597498893737793
2018-05-21 03:16:06.57688,0,320,320,28.278305,0.9532,0.025259971618652344
2018-05-21 03:16:06.60237,0,330,330,19.936287,0.948,0.025484085083007812
2018-05-21 03:16:06.62740,0,340,340,14.579769,0.949,0.025037050247192383
2018-05-21 03:16:06.65306,0,350,350,29.996716,0.9498,0.02565598487854004
2018-05-21 03:16:06.67851,0,360,360,10.77865,0.9548,0.025456905364990234
2018-05-21 03:16:06.70414,0,370,370,20.956467,0.9534,0.02562403678894043
2018-05-21 03:16:06.72952,0,380,380,9.357081,0.9564,0.025376081466674805
2018-05-21 03:16:06.75493,0,390,390,6.149269,0.9556,0.025415897369384766
2018-05-21 03:16:06.78057,0,400,400,8.144403,0.9572,0.025636911392211914
2018-05-21 03:16:06.80642,0,410,410,9.235446,0.9592,0.025852203369140625
2018-05-21 03:16:06.83176,0,420,420,7.7261496,0.9606,0.025340795516967773
2018-05-21 03:16:06.85772,0,430,430,12.528402,0.9598,0.02595806121826172
2018-05-21 03:16:06.88425,0,440,440,12.814989,0.9556,0.026528120040893555
2018-05-21 03:16:06.90977,0,450,450,15.70018,0.956,0.02552199363708496
2018-05-21 03:16:06.93527,0,460,460,6.8905935,0.961,0.02549600601196289
2018-05-21 03:16:06.96084,0,470,470,17.419575,0.9612,0.025574922561645508
2018-05-21 03:16:06.98604,0,480,480,9.386169,0.9622,0.02519512176513672
2018-05-21 03:16:07.01121,0,490,490,12.101082,0.9566,0.025175809860229492
2018-05-21 03:16:07.03672,0,500,500,21.943466,0.9598,0.02550506591796875
2018-05-21 03:16:07.06326,0,510,510,11.093641,0.9614,0.026541948318481445
2018-05-21 03:16:07.09016,0,520,520,18.47863,0.9528,0.02690410614013672
2018-05-21 03:16:07.11727,0,530,530,14.013556,0.9564,0.02710890769958496
2018-05-21 03:16:07.14367,0,540,540,6.0324197,0.964,0.02639603614807129
2018-05-21 03:16:07.16928,0,550,550,15.153155,0.9522,0.025613069534301758
2018-05-21 03:16:07.27557,0,560,560,9.281124,0.9662,0.10629487037658691
2018-05-21 03:16:07.30228,0,570,570,14.011135,0.9664,0.026700973510742188
2018-05-21 03:16:07.32766,0,580,580,17.199223,0.9642,0.025385141372680664
2018-05-21 03:16:07.35414,0,590,590,7.177344,0.9612,0.02647686004638672
2018-05-21 03:16:07.38023,0,600,600,11.88717,0.964,0.026096105575561523
2018-05-21 03:16:07.40758,0,610,610,4.312834,0.9618,0.02734208106994629
2018-05-21 03:16:07.43545,0,620,620,3.1394238,0.96,0.027872800827026367
2018-05-21 03:16:07.46128,0,630,630,8.278496,0.966,0.025835037231445312
2018-05-21 03:16:07.48763,0,640,640,18.665146,0.9656,0.026343107223510742
2018-05-21 03:16:07.51329,0,650,650,12.183443,0.9658,0.025660037994384766
2018-05-21 03:16:07.54013,0,660,660,8.580139,0.9664,0.026839017868041992
2018-05-21 03:16:07.56547,0,670,670,3.302958,0.962,0.025346994400024414
2018-05-21 03:16:07.59102,0,680,680,8.279344,0.9616,0.02555084228515625
2018-05-21 03:16:07.61651,0,690,690,8.057506,0.9612,0.02548503875732422
2018-05-21 03:16:07.64184,0,700,700,9.25902,0.966,0.02533411979675293
2018-05-21 03:16:07.66710,0,710,710,11.599541,0.963,0.025261878967285156
2018-05-21 03:16:07.69240,0,720,720,16.325277,0.9618,0.025300025939941406
2018-05-21 03:16:07.71763,0,730,730,8.183063,0.9588,0.025226116180419922
2018-05-21 03:16:07.74292,0,740,740,12.660696,0.964,0.02528691291809082
2018-05-21 03:16:07.76923,0,750,750,9.290264,0.964,0.026308059692382812
2018-05-21 03:16:07.79493,0,760,760,6.0710487,0.9616,0.025707006454467773
2018-05-21 03:16:07.82145,0,770,770,20.292063,0.9614,0.026512861251831055
2018-05-21 03:16:07.84655,0,780,780,7.8179045,0.9598,0.025107145309448242
2018-05-21 03:16:07.87222,0,790,790,4.630576,0.9624,0.025665998458862305
2018-05-21 03:16:07.89818,0,800,800,19.85001,0.9648,0.02596282958984375
2018-05-21 03:16:07.92382,0,810,810,8.764986,0.9648,0.025634050369262695
2018-05-21 03:16:07.94890,0,820,820,6.5884695,0.9654,0.025088071823120117
2018-05-21 03:16:07.97441,0,830,830,6.3279004,0.9616,0.025510072708129883
2018-05-21 03:16:07.99988,0,840,840,10.752279,0.9642,0.025464773178100586
2018-05-21 03:16:08.02529,0,850,850,12.347677,0.9598,0.025410175323486328
2018-05-21 03:16:08.05033,0,860,860,21.896093,0.965,0.025040864944458008
2018-05-21 03:16:08.07608,0,870,870,14.712136,0.965,0.025745153427124023
2018-05-21 03:16:08.10335,0,880,880,8.961703,0.9646,0.027275800704956055
2018-05-21 03:16:08.12887,0,890,890,5.221597,0.968,0.02551722526550293
2018-05-21 03:16:08.15465,0,900,900,8.855324,0.9666,0.025781869888305664
2018-05-21 03:16:08.17987,0,910,910,14.066881,0.9668,0.02522110939025879
2018-05-21 03:16:08.20645,0,920,920,16.147306,0.9584,0.026578903198242188
2018-05-21 03:16:08.23213,0,930,930,8.643925,0.958,0.025677919387817383
2018-05-21 03:16:08.25734,0,940,940,19.088379,0.9634,0.025210142135620117
2018-05-21 03:16:08.28262,0,950,950,8.291517,0.9672,0.025282859802246094
2018-05-21 03:16:08.30843,0,960,960,29.296633,0.9678,0.02581000328063965
2018-05-21 03:16:08.33396,0,970,970,8.886352,0.9638,0.025527000427246094
2018-05-21 03:16:08.35926,0,980,980,10.703062,0.9668,0.025297164916992188
2018-05-21 03:16:08.38447,0,990,990,13.318458,0.9676,0.025215864181518555
2018-05-21 03:16:08.40993,0,1000,1000,3.7296062,0.9676,0.025457143783569336
2018-05-21 03:16:08.43622,0,1010,1010,12.0499,0.965,0.026291847229003906
2018-05-21 03:16:08.46203,0,1020,1020,5.3109307,0.9646,0.025814056396484375
2018-05-21 03:16:08.48739,0,1030,1030,11.627656,0.9558,0.025352001190185547
2018-05-21 03:16:08.51290,0,1040,1040,10.473502,0.961,0.025517940521240234
2018-05-21 03:16:08.53888,0,1050,1050,10.487543,0.9568,0.025977134704589844
2018-05-21 03:16:08.56513,0,1060,1060,21.513493,0.9648,0.026248931884765625
2018-05-21 03:16:08.59081,0,1070,1070,3.5515773,0.9618,0.02567911148071289
2018-05-21 03:16:08.61642,0,1080,1080,16.28595,0.9656,0.025607824325561523
2018-05-21 03:16:08.64186,0,1090,1090,8.15426,0.9666,0.025443077087402344
2018-05-21 03:16:08.66724,0,1100,1100,9.32205,0.9622,0.025378942489624023
2018-05-21 03:16:08.77290,0,1110,1110,2.3649182,0.9654,0.10566306114196777
2018-05-21 03:16:08.80007,0,1120,1120,10.201201,0.964,0.027170896530151367
2018-05-21 03:16:08.82561,0,1130,1130,14.9628935,0.9644,0.02553415298461914
2018-05-21 03:16:08.85152,0,1140,1140,17.235216,0.9604,0.025915861129760742
