time,worker_task_index,global_step,local_step,loss,acc,time delta
2018-05-21 02:38:27.28322,0,10,10,57.804756,0.8286,0
2018-05-21 02:38:27.33489,0,20,20,56.001846,0.867,0.05167078971862793
2018-05-21 02:38:27.37372,0,30,30,29.17124,0.8952,0.03882908821105957
2018-05-21 02:38:27.41393,0,40,40,25.679213,0.8964,0.0402069091796875
2018-05-21 02:38:27.45369,0,50,50,34.738,0.9024,0.0397641658782959
2018-05-21 02:38:27.49223,0,60,60,29.446508,0.9168,0.03853893280029297
2018-05-21 02:38:27.53114,0,70,70,25.391953,0.9298,0.03890705108642578
2018-05-21 02:38:27.56726,0,80,80,26.449661,0.9172,0.03612804412841797
2018-05-21 02:38:27.60395,0,90,90,52.541252,0.9304,0.036682844161987305
2018-05-21 02:38:27.64304,0,100,100,39.996307,0.921,0.03909707069396973
2018-05-21 02:38:27.68277,0,110,110,37.34784,0.9256,0.039726972579956055
2018-05-21 02:38:27.72025,0,120,120,31.123577,0.9288,0.03748297691345215
2018-05-21 02:38:27.75807,0,130,130,16.715973,0.935,0.03781294822692871
2018-05-21 02:38:27.79763,0,140,140,31.5606,0.9384,0.039566993713378906
2018-05-21 02:38:27.83605,0,150,150,17.170208,0.9388,0.038416147232055664
2018-05-21 02:38:27.87631,0,160,160,16.383808,0.9506,0.04025888442993164
2018-05-21 02:38:27.91535,0,170,170,17.489166,0.9452,0.03903913497924805
2018-05-21 02:38:27.95345,0,180,180,24.004725,0.9374,0.038101911544799805
2018-05-21 02:38:27.99023,0,190,190,18.506401,0.9458,0.036778926849365234
2018-05-21 02:38:28.03001,0,200,200,49.665623,0.9444,0.0397801399230957
2018-05-21 02:38:28.06871,0,210,210,9.472958,0.945,0.038697004318237305
2018-05-21 02:38:28.10703,0,220,220,27.607414,0.9448,0.03832292556762695
2018-05-21 02:38:28.14189,0,230,230,9.919685,0.953,0.034863948822021484
2018-05-21 02:38:28.17890,0,240,240,11.397655,0.9552,0.0370020866394043
