time,worker_task_index,global_step,local_step,loss,acc,time delta
2018-05-21 02:39:14.94458,0,10,10,55.13137,0.8228,0
2018-05-21 02:39:15.02094,0,20,20,42.05686,0.8778,0.07636594772338867
2018-05-21 02:39:15.07127,0,30,30,26.201149,0.8968,0.0503230094909668
2018-05-21 02:39:15.12149,0,40,40,44.15483,0.8936,0.05021810531616211
2018-05-21 02:39:15.17069,0,50,50,33.74716,0.9024,0.04920697212219238
2018-05-21 02:39:15.21712,0,60,60,23.702362,0.904,0.04642510414123535
2018-05-21 02:39:15.26648,0,70,70,21.884998,0.9092,0.04936790466308594
2018-05-21 02:39:15.31540,0,80,80,31.447573,0.9184,0.04891800880432129
2018-05-21 02:39:15.36399,0,90,90,28.49958,0.9238,0.048583030700683594
2018-05-21 02:39:15.41542,0,100,100,26.021118,0.9212,0.05143094062805176
2018-05-21 02:39:15.46299,0,110,110,17.651619,0.9246,0.047569990158081055
2018-05-21 02:39:15.51208,0,120,120,27.355396,0.927,0.04909801483154297
2018-05-21 02:39:15.56060,0,130,130,21.16821,0.924,0.04851508140563965
2018-05-21 02:39:15.60769,0,140,140,22.070112,0.931,0.047093868255615234
2018-05-21 02:39:15.65766,0,150,150,8.987881,0.931,0.049961090087890625
2018-05-21 02:39:15.70547,0,160,160,4.661216,0.9402,0.04781508445739746
2018-05-21 02:39:15.75201,0,170,170,25.131527,0.9408,0.046544790267944336
2018-05-21 02:39:15.79782,0,180,180,14.031149,0.9432,0.045803070068359375
2018-05-21 02:39:15.84471,0,190,190,27.687197,0.942,0.046890974044799805
2018-05-21 02:39:15.89376,0,200,200,29.840277,0.935,0.049053192138671875
2018-05-21 02:39:15.94367,0,210,210,23.474339,0.9474,0.04990577697753906
2018-05-21 02:39:15.99328,0,220,220,19.607553,0.948,0.04961705207824707
2018-05-21 02:39:16.04102,0,230,230,15.532997,0.947,0.047736167907714844
2018-05-21 02:39:16.08894,0,240,240,10.973196,0.9486,0.04791998863220215
2018-05-21 02:39:16.13763,0,250,250,18.352058,0.946,0.048692941665649414
2018-05-21 02:39:16.18666,0,260,260,19.562527,0.9484,0.04902195930480957
2018-05-21 02:39:16.23478,0,270,270,13.477111,0.9502,0.048120975494384766
2018-05-21 02:39:16.28182,0,280,280,13.009036,0.9518,0.04704594612121582
2018-05-21 02:39:16.33076,0,290,290,23.93935,0.9522,0.0489351749420166
2018-05-21 02:39:16.37861,0,300,300,13.994044,0.9546,0.0478518009185791
2018-05-21 02:39:16.42899,0,310,310,9.483337,0.9542,0.05037808418273926
