time,worker_task_index,global_step,local_step,loss,acc,time delta
2018-05-21 03:08:08.57289,0,10,10,70.97578,0.803,0
2018-05-21 03:08:08.63189,0,20,20,34.81196,0.8694,0.05900406837463379
2018-05-21 03:08:08.68151,0,30,30,53.42503,0.8828,0.04961705207824707
2018-05-21 03:08:08.73349,0,40,40,25.699846,0.8934,0.05198097229003906
2018-05-21 03:08:08.78309,0,50,50,44.053413,0.8846,0.04960298538208008
2018-05-21 03:08:08.82980,0,60,60,34.752937,0.9172,0.0467069149017334
2018-05-21 03:08:08.88110,0,70,70,35.366096,0.9222,0.051299095153808594
2018-05-21 03:08:08.92979,0,80,80,37.314972,0.9252,0.04869389533996582
2018-05-21 03:08:08.98091,0,90,90,35.284813,0.9244,0.05111503601074219
2018-05-21 03:08:09.02869,0,100,100,15.298069,0.9276,0.04778289794921875
2018-05-21 03:08:09.07677,0,110,110,31.184948,0.934,0.0480799674987793
2018-05-21 03:08:09.12552,0,120,120,12.382663,0.9364,0.04874706268310547
2018-05-21 03:08:09.17228,0,130,130,23.707308,0.9278,0.046766042709350586
2018-05-21 03:08:09.22048,0,140,140,20.867386,0.9412,0.04820108413696289
2018-05-21 03:08:09.26725,0,150,150,24.28539,0.9436,0.0467679500579834
2018-05-21 03:08:09.31551,0,160,160,35.73719,0.9438,0.04826188087463379
2018-05-21 03:08:09.36249,0,170,170,23.64,0.947,0.04698014259338379
2018-05-21 03:08:09.40849,0,180,180,30.425728,0.9498,0.04599499702453613
2018-05-21 03:08:09.45368,0,190,190,22.513687,0.9484,0.04519391059875488
2018-05-21 03:08:09.50002,0,200,200,18.310947,0.947,0.04633498191833496
2018-05-21 03:08:09.54425,0,210,210,9.292072,0.9486,0.04423713684082031
2018-05-21 03:08:09.58955,0,220,220,16.682762,0.9498,0.04529690742492676
2018-05-21 03:08:09.63791,0,230,230,11.552289,0.948,0.04835796356201172
2018-05-21 03:08:09.68566,0,240,240,14.196205,0.9544,0.04775214195251465
2018-05-21 03:08:09.73409,0,250,250,6.2310414,0.9496,0.04842782020568848
2018-05-21 03:08:09.78222,0,260,260,21.260384,0.9484,0.04813218116760254
2018-05-21 03:08:09.82919,0,270,270,22.86978,0.9514,0.04696989059448242
2018-05-21 03:08:09.87814,0,280,280,24.843946,0.9526,0.04894900321960449
2018-05-21 03:08:09.92535,0,290,290,15.879847,0.954,0.04721212387084961
2018-05-21 03:08:09.97602,0,300,300,8.958856,0.9566,0.05066680908203125
2018-05-21 03:08:10.02569,0,310,310,23.82093,0.9556,0.049668073654174805
2018-05-21 03:08:10.07571,0,320,320,13.466932,0.957,0.05002593994140625
2018-05-21 03:08:10.12445,0,330,330,24.783386,0.952,0.0487360954284668
2018-05-21 03:08:10.17023,0,340,340,12.02665,0.9526,0.04577898979187012
2018-05-21 03:08:10.21445,0,350,350,15.120688,0.9584,0.044220924377441406
2018-05-21 03:08:10.26006,0,360,360,25.49232,0.9604,0.04561495780944824
2018-05-21 03:08:10.30588,0,370,370,36.79969,0.9562,0.04581117630004883
2018-05-21 03:08:10.35352,0,380,380,11.505875,0.9492,0.047644853591918945
2018-05-21 03:08:10.40026,0,390,390,9.585936,0.9624,0.0467371940612793
2018-05-21 03:08:10.44581,0,400,400,11.59778,0.9614,0.04555392265319824
2018-05-21 03:08:10.49351,0,410,410,18.534325,0.9588,0.047698020935058594
2018-05-21 03:08:10.54260,0,420,420,7.1298976,0.9584,0.049095869064331055
2018-05-21 03:08:10.59048,0,430,430,19.189281,0.9568,0.04787707328796387
2018-05-21 03:08:10.63762,0,440,440,12.887454,0.9604,0.04713606834411621
2018-05-21 03:08:10.68472,0,450,450,15.382244,0.9632,0.0471038818359375
2018-05-21 03:08:10.73077,0,460,460,12.436603,0.9506,0.046050071716308594
2018-05-21 03:08:10.77590,0,470,470,19.922659,0.958,0.04512596130371094
2018-05-21 03:08:10.82179,0,480,480,17.672745,0.9562,0.04588890075683594
2018-05-21 03:08:10.87049,0,490,490,23.32852,0.9526,0.048705101013183594
2018-05-21 03:08:10.91896,0,500,500,10.641851,0.9626,0.04846692085266113
2018-05-21 03:08:10.96676,0,510,510,19.74031,0.9554,0.04780316352844238
2018-05-21 03:08:11.01479,0,520,520,11.574323,0.9568,0.048024892807006836
2018-05-21 03:08:11.06369,0,530,530,8.822862,0.9526,0.04890799522399902
2018-05-21 03:08:11.11063,0,540,540,3.9032855,0.9542,0.04693198204040527
2018-05-21 03:08:11.15765,0,550,550,18.622143,0.9612,0.047022104263305664
2018-05-21 03:08:11.30506,0,560,560,5.11033,0.961,0.14740991592407227
2018-05-21 03:08:11.35371,0,570,570,11.781952,0.9582,0.04865598678588867
2018-05-21 03:08:11.40149,0,580,580,11.515154,0.9496,0.047775983810424805
2018-05-21 03:08:11.44967,0,590,590,24.235077,0.9574,0.04818296432495117
2018-05-21 03:08:11.49773,0,600,600,18.681498,0.96,0.048052072525024414
2018-05-21 03:08:11.54133,0,610,610,12.043373,0.9634,0.04360198974609375
2018-05-21 03:08:11.58804,0,620,620,26.626968,0.9616,0.046708106994628906
2018-05-21 03:08:11.63575,0,630,630,12.452926,0.961,0.047714948654174805
2018-05-21 03:08:11.68449,0,640,640,3.9738977,0.9688,0.0487360954284668
2018-05-21 03:08:11.73310,0,650,650,7.0826283,0.967,0.048613786697387695
2018-05-21 03:08:11.78095,0,660,660,8.089531,0.9642,0.047849178314208984
2018-05-21 03:08:11.83037,0,670,670,8.107895,0.9674,0.049423933029174805
2018-05-21 03:08:11.87750,0,680,680,5.0211573,0.963,0.04712510108947754
2018-05-21 03:08:11.92597,0,690,690,24.74252,0.965,0.04846787452697754
2018-05-21 03:08:11.97513,0,700,700,18.63094,0.963,0.04916691780090332
2018-05-21 03:08:12.02452,0,710,710,6.193473,0.9666,0.04938697814941406
2018-05-21 03:08:12.07262,0,720,720,5.8740425,0.9632,0.048101186752319336
2018-05-21 03:08:12.12061,0,730,730,20.965496,0.9646,0.047987937927246094
2018-05-21 03:08:12.16718,0,740,740,3.121892,0.9628,0.046571969985961914
2018-05-21 03:08:12.21559,0,750,750,2.4444947,0.9656,0.04840397834777832
2018-05-21 03:08:12.26398,0,760,760,12.166855,0.9652,0.04839897155761719
2018-05-21 03:08:12.31071,0,770,770,15.667451,0.9562,0.04672098159790039
2018-05-21 03:08:12.35970,0,780,780,6.471735,0.9576,0.04899907112121582
2018-05-21 03:08:12.40944,0,790,790,12.589964,0.961,0.04973912239074707
2018-05-21 03:08:12.45874,0,800,800,13.449191,0.9552,0.049292802810668945
2018-05-21 03:08:12.50794,0,810,810,11.3168545,0.9552,0.049204111099243164
2018-05-21 03:08:12.55539,0,820,820,16.128746,0.9582,0.04745006561279297
2018-05-21 03:08:12.60121,0,830,830,18.099213,0.9558,0.04581499099731445
2018-05-21 03:08:12.64664,0,840,840,20.732159,0.9524,0.04542899131774902
2018-05-21 03:08:12.69365,0,850,850,15.872654,0.9532,0.04701089859008789
2018-05-21 03:08:12.74233,0,860,860,13.65803,0.9646,0.04868292808532715
2018-05-21 03:08:12.79035,0,870,870,24.6155,0.9626,0.048023223876953125
2018-05-21 03:08:12.84017,0,880,880,10.360731,0.9602,0.04981684684753418
2018-05-21 03:08:12.88732,0,890,890,23.470276,0.96,0.04714608192443848
2018-05-21 03:08:12.93459,0,900,900,23.631868,0.9654,0.04727005958557129
2018-05-21 03:08:12.98261,0,910,910,6.873303,0.9634,0.048024892807006836
2018-05-21 03:08:13.03193,0,920,920,12.387756,0.9632,0.049321889877319336
2018-05-21 03:08:13.07995,0,930,930,8.218008,0.9648,0.04801511764526367
2018-05-21 03:08:13.12782,0,940,940,13.758578,0.9622,0.04786992073059082
2018-05-21 03:08:13.17538,0,950,950,3.4262595,0.961,0.047567129135131836
2018-05-21 03:08:13.22124,0,960,960,11.835602,0.9608,0.04585599899291992
2018-05-21 03:08:13.26767,0,970,970,15.219646,0.9642,0.04642891883850098
2018-05-21 03:08:13.31400,0,980,980,15.831698,0.9674,0.046328067779541016
2018-05-21 03:08:13.35963,0,990,990,8.388979,0.965,0.04563403129577637
2018-05-21 03:08:13.40469,0,1000,1000,7.8866878,0.9664,0.04506087303161621
2018-05-21 03:08:13.44896,0,1010,1010,7.653332,0.963,0.044268131256103516
2018-05-21 03:08:13.49667,0,1020,1020,5.251563,0.9678,0.04770994186401367
2018-05-21 03:08:13.54467,0,1030,1030,1.6655797,0.9642,0.04800295829772949
2018-05-21 03:08:13.59230,0,1040,1040,8.6766815,0.9616,0.04762601852416992
2018-05-21 03:08:13.64198,0,1050,1050,14.727104,0.969,0.04968595504760742
2018-05-21 03:08:13.68810,0,1060,1060,3.3159008,0.9678,0.046111106872558594
2018-05-21 03:08:13.73479,0,1070,1070,7.776126,0.9666,0.046694040298461914
2018-05-21 03:08:13.78331,0,1080,1080,8.871328,0.968,0.04851698875427246
2018-05-21 03:08:13.83098,0,1090,1090,2.8280046,0.965,0.04767584800720215
2018-05-21 03:08:13.87740,0,1100,1100,10.76037,0.966,0.04641413688659668
2018-05-21 03:08:14.02471,0,1110,1110,1.1925162,0.9666,0.14731097221374512
2018-05-21 03:08:14.06922,0,1120,1120,5.143656,0.9686,0.04451298713684082
2018-05-21 03:08:14.11529,0,1130,1130,11.348198,0.9714,0.04606509208679199
2018-05-21 03:08:14.16409,0,1140,1140,15.112798,0.966,0.04880380630493164
2018-05-21 03:08:14.21291,0,1150,1150,6.7548027,0.968,0.04882216453552246
2018-05-21 03:08:14.26050,0,1160,1160,3.182253,0.9672,0.047583818435668945
2018-05-21 03:08:14.30571,0,1170,1170,8.117006,0.9662,0.04521012306213379
2018-05-21 03:08:14.35255,0,1180,1180,9.861624,0.9668,0.04684305191040039
2018-05-21 03:08:14.39881,0,1190,1190,19.947071,0.9698,0.04625892639160156
2018-05-21 03:08:14.44485,0,1200,1200,6.8790636,0.969,0.046037912368774414
2018-05-21 03:08:14.49276,0,1210,1210,9.327373,0.9668,0.0479121208190918
2018-05-21 03:08:14.54088,0,1220,1220,12.890352,0.969,0.04812288284301758
2018-05-21 03:08:14.58651,0,1230,1230,31.689697,0.969,0.04562997817993164
2018-05-21 03:08:14.63198,0,1240,1240,10.877766,0.9634,0.04546713829040527
2018-05-21 03:08:14.67985,0,1250,1250,2.1011472,0.9712,0.04786801338195801
2018-05-21 03:08:14.72938,0,1260,1260,3.173655,0.972,0.049533843994140625
2018-05-21 03:08:14.77969,0,1270,1270,18.337511,0.9694,0.05030703544616699
2018-05-21 03:08:14.82785,0,1280,1280,2.2521062,0.968,0.04816102981567383
2018-05-21 03:08:14.87504,0,1290,1290,8.848624,0.9676,0.047187089920043945
2018-05-21 03:08:14.92278,0,1300,1300,19.992832,0.964,0.04774904251098633
2018-05-21 03:08:14.97259,0,1310,1310,17.994637,0.9626,0.04981088638305664
2018-05-21 03:08:15.02019,0,1320,1320,7.372427,0.9654,0.04759502410888672
2018-05-21 03:08:15.06847,0,1330,1330,12.385328,0.9636,0.04828310012817383
2018-05-21 03:08:15.11650,0,1340,1340,18.451572,0.9612,0.04802680015563965
2018-05-21 03:08:15.16195,0,1350,1350,3.692858,0.959,0.045449018478393555
2018-05-21 03:08:15.20757,0,1360,1360,11.234743,0.9592,0.04561901092529297
